proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
Prospección Mirador,3553411,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,1,7,0,29,,7,71,35,28,106,5,0,21,,5,50,24,18,73
"AUMENTO CAPACIDAD ALMACENAMIENTO ÁCIDO SULFÚRICO, TERMINAL MARÍTIMO INTERACID TRADING (CHILE) S.A., MEJILLONES, REGIÓN DE ANTOFAGASTA",3554768,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,6,3,6,1,30,,88,260,27,14,281,4,1,22,,59,179,18,10,194
Planta Lavado de Diesel,3570614,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,2,5,0,30,,30,109,16,39,153,3,0,22,,21,76,12,25,104
"Centro de Tratamiento por Incineración de Residuos Peligrosos provenientes de Sistemas de Lavado de Maquinarias, Equipos y Vehículos",3545055,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
Modificación de la Zona ZU-5 del Plan Regulador de la Ciudad de Calama,3584435,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,1,1,0,21,,8,29,0,9,39,1,0,15,,6,21,0,7,29
"Cultivo en Etapas de Engorda para la Producción en Cautiverio de Seriola lalandi en  Nº PERT 206024014 el Sector Caleta Buena Bahía Isla Blanca, Tal Tal Segunda región "".",3594361,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
"Declaración de Impacto Ambiental del proyecto ""Cultivo en Etapas de Engorda para la Producción en Cautiverio de Seriola lalandi en el Sector Las Guaneras Bahía Isla Blanca, Tal Tal 2ª región",3604154,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
"Cultivo en Etapas de Engorda para la Producción en Cautiverio de Seriola lalandi en  Nº PERT 206024015 el Sector Caleta Gritón  Bahía Isla Blanca, Tal Tal Segunda región "".",3604242,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
TRATAMIENTO Y TRANSPORTE DE SUSTANCIAS PELIGROSAS,3582423,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,3,,,,,,,,,1,,,,,,,,
Planta Concentradora Acido Nitrico y Sulfúrico,3634978,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
MEJORAMIENTO SISTEMA DE ALCANTARILADO DE AGUAS SERVIDAS DE SAN PEDRO DE ATACAMA,3642371,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
Extracción y Procesamiento de Áridos Planta Cerro Gris,3588235,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,4,2,6,2,42,,60,189,34,21,218,4,2,28,,40,129,23,14,149
Proyecto Línea Transmisión Doble Circuito 2x220 kV Central Angamos a S/E Likanantai,3650877,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,5,,,,,,,,,3,,,,,,,,
Modificación del Proyecto Transporte de Cianuro de Sodio Sólido desde el Puerto de Antofagasta hasta Mina El Peñón  Alternativa Puerto de Mejillones,3648710,DIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
